model_name,train_r2,train_mse,test_r2,test_mse
Seq_32x1_16-0.005,0.5426915176442024,0.4602943956851959,0.49673618687231835,0.4900836944580078
Seq_32x1_16-0.0005,0.5453246664184181,0.4576440155506134,0.4848451434911274,0.501663327217102
Seq_32x1_16-0.001,0.5489416073141122,0.4540034830570221,0.49398574920895255,0.49276208877563477
Seq_32x1_16-5e-05,0.47904971237298544,0.5243517756462097,0.4550573743700953,0.5306709408760071
Seq_32x1_16-0.0001,0.49749700691153287,0.5057839155197144,0.46391833019393414,0.5220420956611633
Seq_64x1_16_reg-0.005,0.5644103060184975,0.43843376636505127,0.48937064664477936,0.4972563087940216
Seq_64x1_16_reg-0.0005,0.5760627481570313,0.4267052412033081,0.4853608698496834,0.5011610984802246
Seq_64x1_16_reg-0.001,0.5807419108805336,0.42199549078941345,0.4908108765749074,0.49585381150245667
Seq_64x1_16_reg-5e-05,0.4320961912865442,0.5716118216514587,0.39139678480189755,0.5926643013954163
Seq_64x1_16_reg-0.0001,0.502622543008403,0.5006250143051147,0.4606929948434684,0.5251829624176025
Seq_32x1_16_filt3_reg-0.005,0.5445578865479531,0.45841577649116516,0.49197759105846883,0.49471762776374817
Seq_32x1_16_filt3_reg-0.0005,0.5056186748852192,0.49760931730270386,0.46545078544993024,0.5205497145652771
Seq_32x1_16_filt3_reg-0.001,0.5419244533075303,0.46106642484664917,0.48839782067860127,0.49820366501808167
Seq_32x1_16_filt3_reg-5e-05,0.38647965181769095,0.6175261735916138,0.352967755316552,0.6300869584083557
Seq_32x1_16_filt3_reg-0.0001,0.382787610021576,0.6212422847747803,0.34982210798694713,0.6331502199172974
